Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL
"Responsable commercial régional - Nador","Fondée en 1993, Graderco est une entreprise leader dans le négoce de matières premières agricoles, principalement destinées à l'industrie et à la nutrition animale. Avec près de 30 ans d'expérience, nous jouons un rôle clé dans l'importation, le négoce et le stockage de céréales, tels que le maïs, le soja et le blé. Nos installations, stratégiquement réparties à travers tout le royaume, nous permettent de gérer d'importants volumes de matières premières, garantissant ainsi une chaîne d'approvisionnement fluide et fiable pour nos clients et partenaires.","Bac +5 et plus Minimum - BTS / DUT","De 1 à 3 ans - De 3 à 5 ans","17, lotissement la colline II Sidi Maarouf - Casablanca","CDI","","https://www.rekrute.com/offre-emploi-responsable-commercial-regional-recrutement-graderco-nador-165904.html"
"Accountant - Treasury - Casablanca","Air Arabia (PJSC), listed on the Dubai Financial Market, is the Middle East and North Africa’s first and leading low-cost carrier flying to over 150 destinations across the world. Air Arabia was the first airline to introduce the low-cost carrier concept in the region and is on a mission to serve all Arab countries and beyond, constantly undergoing aggressive route expansion, taking advantage of its ideally located hubs in the United Arab Emirates, Morocco and Egypt. Over the past years, Air Arabia, through continuous market research and customer feedback, has provided a range of value added services to millions of passengers who chose to fly with the airline's fleet of A320 aircraft. The airline commenced operations in October 2003 and achieved financial break-even from its very first year of services and has been profitable ever since. The airline commenced operations in October 2003 and achieved financial break-even from its very first year of services and has been profitable ever since. -","Bac +3 Maximum - Université","De 3 à 5 ans","Morocco Morocco","CDI","","https://www.rekrute.com/offre-emploi-accountant---treasury-recrutement-air-arabia-casablanca-166961.html"
"Responsable Trésorerie middle office - CASABLANCA","","Bac +5 et plus Minimum - Master","De 3 à 5 ans - De 5 à 10 ans","Agadir 80000 Agadir","CDI","","https://www.rekrute.com/offre-emploi-responsable-tresorerie-middle-office-recrutement-groupe-azura-casablanca-166960.html"
"Project Manager - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150","CDI","","https://www.rekrute.com/offre-emploi-project-manager-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166959.html"
"General Manager - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","Plus de 20 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150","CDI","","https://www.rekrute.com/offre-emploi-general-manager-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166958.html"
"Téléconseillers en prise des RDVS - Tanger - Tanger","Impérial Com - L'Esprit de Communication","Bac +2 Minimum - Université","Débutant","Riad Tetouan Immeuble Office Bulding 3ème Etage Tanger Tanger","CDI","","https://www.rekrute.com/offre-emploi-teleconseillers-en-prise-des-rdvs---tanger-recrutement-imperial-com-tanger-166957.html"
"Architecte Réseaux & cybersécurité ( ARC) - Casablanca","Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune.","Bac +5 et plus Minimum - Master","De 5 à 10 ans","Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca","Autre","","https://www.rekrute.com/offre-emploi-architecte-reseaux-cybersecurite-arc-recrutement-manpower-agences-casablanca-166617.html"
"Technicien(ne) Helpdesk N2 - Casablanca","Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune.","Bac +2 Minimum","Moins de 1 an","Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-technicienne-helpdesk-n2-recrutement-manpower-agences-casablanca-166955.html"
"Lead Buyer Packaging - Agadir","","Bac +5 et plus Minimum - Master","De 5 à 10 ans - De 10 à 20 ans","Agadir 80000 Agadir","CDI","","https://www.rekrute.com/offre-emploi-lead-buyer-packaging-recrutement-groupe-azura-agadir-166954.html"
"Supply Chain Technician - Fès","Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.","Bac +3 Maximum - BTS / DUT - Formation professionnelle","Débutant","shore 17, Casanearshore Boulevard El Qods 20000 Casablanca","Autre","","https://www.rekrute.com/offre-emploi-supply-chain-technician-recrutement-capgemini-engineering-fes-166072.html"
