Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL,Is CDI,Is CDD,Encoded Study Level,Encoded Experience Level
"Full stack JAVA/AWS Anglophone (H/F) - Rabat, Rabat-Salé-Kénitra, Maroc",DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation),Bac +4 Minimum,De 3 à 5 ans,"Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat",CDI,"[""Informatique"", ""Electronique"", ""Informatique""]",https://www.rekrute.com/offre-emploi-full-stack-javaaws-anglophone-hf-recrutement-dxc-technology-maroc-rabat-rabat-sale-kenitra-maroc-166794.html,1,0,3,4.0
Conseiller de Clientèle Italophone / English - Salé - Technopolis,environnement multiculturel et multinational. Un environnement ouvert et basé sur le travail en équipe,Bac +2 Minimum - Baccalauréat,Moins de 1 an,"Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat",CDI,"[""Call"" ""Centers"", ""Informatique""]",https://www.rekrute.com/offre-emploi-conseiller-de-clientele-italophone-english-recrutement-dxc-technology-maroc-sale---technopolis-166639.html,1,0,1,0.5
Développeur Senior Kafka - Casablanca,DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation),Bac +5 et plus Minimum - Ecole d'ingénieur,De 3 à 5 ans,"Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat",CDI,"[""Informatique"", ""Electronique"", ""Informatique""]",https://www.rekrute.com/offre-emploi-developpeur-senior-kafka-recrutement-dxc-technology-maroc-casablanca-166851.html,1,0,4,4.0
Conseiller Client en réception d'appel - Rabat,Sitel Group devient officiellement Foundever™.,Bac Minimum - Baccalauréat,Moins de 1 an,"1100 Bd El Qods, Sidi Maârouf), Casanearshore Park 20100 Casablanca",CDI,"[""Call"" ""Centers"", ""Centre"" d'""appel""]",https://www.rekrute.com/offre-emploi-conseiller-client-en-reception-dappel-recrutement-foundever-ex-sitel-group-rabat-166964.html,1,0,-1,0.5
Ingénieur Génie Civil/Structure métallique sénior H/F - Casablanca,Bienvenue chez PM ENGINEERING,Bac +5 et plus Minimum - Master,De 5 à 10 ans,Oasis Casablanca - Casablanca,CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""Pétrole"", ""Gaz""]",https://www.rekrute.com/offre-emploi-ingenieur-genie-civilstructure-metallique-senior-hf-recrutement-pm-engineering-by-parlym-casablanca-166274.html,1,0,4,7.5
Electricien installateur dépanneur IRVE (bornes de recharge pour les véhicules électriques) H/F - Casablanca,Le Groupe Solutions30 est le partenaire privilégié des entreprises pour la mise en œuvre des nouvelles technologies numériques en Europe et pour l’assistance aux utilisateurs. Leader européen du marché,Bac +2 Minimum - BTS / DUT,De 3 à 5 ans,"27 Boulevard Mohamed Zerktouni Casablanca Résidence Montassir, Troisième étage 20000 Casablanca",CDI,"[""Electricité"", ""Electronique"", ""Electricité""]",https://www.rekrute.com/offre-emploi-electricien-installateur-depanneur-irve-bornes-de-recharge-pour-les-vehicules-electriques-hf-recrutement-sol30-casablanca-166963.html,1,0,1,4.0
Rejoignez une équipe qui transforme chaque appel en opportunité ! ???? - Kénitra,Nous sommes un leader mondial en matière de technologie et de services qui propulse les marques du futur. Nous aidons des marques connues – celles que vous utilisez quotidiennement – à améliorer leurs activités grâce à la technologie et à des solutions intégrées,Bac Minimum - Autre,Moins de 1 an,"43, Bd Ibn Sina 10000 Rabat",Autre,"[""Call"" ""Centers"", ""Centre"" d'""appel""]",https://www.rekrute.com/offre-emploi-rejoignez-une-equipe-qui-transforme-chaque-appel-en-opportunite-recrutement-concentrix-webhelp-kenitra-166962.html,0,0,-1,0.5
Stagiaire PMO Odoo - Casablanca,Overseas Catering & Services (OCS) est un groupe qui offre une gamme de service aux entreprises en matière de Restauration Collective et de Facilities Management.,Bac +4 Minimum,Moins de 1 an - De 1 à 3 ans,-- Casablanca,Stage,"[""Informatique"", ""Electronique"", ""Autres"" ""services""]",https://www.rekrute.com/offre-emploi-stagiaire-pmo-odoo-recrutement-ocs-group-casablanca-166543.html,0,0,3,2.0
Responsable commercial régional - Nador,Fondée en 1993,Bac +5 et plus Minimum - BTS / DUT,De 1 à 3 ans - De 3 à 5 ans,"17, lotissement la colline II Sidi Maarouf - Casablanca",CDI,"[""Commercial"", ""Vente"", ""Export"", ""Agroalimentaire"", ""Distribution""]",https://www.rekrute.com/offre-emploi-responsable-commercial-regional-recrutement-graderco-nador-165904.html,1,0,4,2.0
Accountant - Treasury - Casablanca,Air Arabia (PJSC),Bac +3 Maximum - Université,De 3 à 5 ans,Morocco Morocco,CDI,"[""Gestion"", ""Comptabilité"", ""Finance"", ""Aéronautique"", ""Spatial"", ""Banque"", ""Finance""]",https://www.rekrute.com/offre-emploi-accountant---treasury-recrutement-air-arabia-casablanca-166961.html,1,0,2,4.0
